ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,2025-11-09,PEM (SG) PTE. LTD.,PEM (SG) PTE. LTD.,,,,,,08-11-2018,201838074K,46512,,,,,https://pemconfinement.com,,['https://www.facebook.com/pemconfinementnanny/'],['https://www.instagram.com/pemconfinementnanny/'],['https://sg.linkedin.com/company/pem-confinement-nanny-agency-pte-ltd-'],,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6562939249'],['sales@pemconfinement.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,P & O FEDERATION,P & O FEDERATION,,,,,,04-04-2025,53502126K,46424,,,,,,,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,312 TECHNOLOGY LLP,312 TECHNOLOGY LLP,,,,,,08-06-2018,T18LL0967D,46592,,,,,https://312-technology.com,,['https://www.facebook.com/wecare312technology/'],,,,LIMITED LIABILITY PARTNERSHIP,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6587600312'],,,,,,,,,,,,,,,,,,
,,2025-11-09,SUSTAIN ENGINEERING PTE. LTD.,SUSTAIN ENGINEERING PTE. LTD.,,,,,,01-01-2021,202100172W,46599,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6562907633'],,,,,,,,,,,,,,,,,,
,,2025-11-09,ZHIRONG ELECTRONICS PTE. LTD.,ZHIRONG ELECTRONICS PTE. LTD.,,,,,,09-11-2023,202344367N,46522,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,SLD SEMI (SINGAPORE) PTE. LTD.,SLD SEMI (SINGAPORE) PTE. LTD.,,,,,,01-04-2024,202412608H,46522,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6564675585'],,,,,,,,,,,,,,,,,,
,,2025-11-09,YAMAMA ASIA PTE. LTD.,YAMAMA ASIA PTE. LTD.,,,,,,06-07-2018,201823048R,46591,,,,,https://yamamaasia.com,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,L-ACOUSTICS PTE. LTD.,L-ACOUSTICS PTE. LTD.,,,,,,04-09-2019,201929360Z,46436,,,,,https://www.mycareersfuture.gov.sg/job/design/director-application-apac-l-acoustics-b0a98465897f6c279470549b774b5ce5,,,['https://www.instagram.com/l.acoustics.official/'],"['https://sg.linkedin.com/company/l-acoustics?trk=ppro_cprof', 'https://uk.linkedin.com/company/l-acoustics']",,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,['+6568714026'],,,,,,,,,,,,,,,,,,
,,2025-11-09,DF TRADING (PTE. LTD.),DF TRADING (PTE. LTD.),,,,,,03-01-2017,201700250C,46639,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,['sales@dftrading.asia'],,,,,,,,,,,,,,,,,
,,2025-11-09,GTC INTL TRADE PTE. LTD.,GTC INTL TRADE PTE. LTD.,,,,,,02-10-2024,202440423M,46511,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,HYTOP TECH PTE. LTD.,HYTOP TECH PTE. LTD.,,,,,,08-03-2024,202409314K,46541,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,VITMO HEALTH & CARE PTE. LTD.,VITMO HEALTH & CARE PTE. LTD.,,,,,,10-01-2024,202401543R,46592,,,,,https://www.vitmo-healthcare.com/,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,VITAFRESH PTE. LTD.,VITAFRESH PTE. LTD.,,,,,,03-03-2017,201705951R,46301,,,,,https://vitafresh.com.sg,,['https://www.facebook.com/vitafreshpteltd/'],['https://www.instagram.com/vitafreshsg/'],,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,['+6562657997'],['vitafreshenquiry@gmail.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,NANOMEDIC TECHNOLOGIES & SOLUTIONS PTE. LTD.,NANOMEDIC TECHNOLOGIES & SOLUTIONS PTE. LTD.,,,,,,06-01-2025,202500424N,46592,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,TENSHI KAIZEN PHARMA PTE. LTD.,TENSHI KAIZEN PHARMA PTE. LTD.,,,,,,11-01-2019,201901539C,46461,,,,,https://tenshi.co.in,,,,['https://www.linkedin.com/company/tenshi-life-sciences'],,LOCAL COMPANY,Others,,Pharmacies & Health Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,INNOVATECH SOLUTIONS PTE. LTD.,INNOVATECH SOLUTIONS PTE. LTD.,,,,,,02-06-2021,202119332C,46100,,,,,,,['https://www.facebook.com/p/innovatech-precision-engineering-100057411011038/'],,['https://www.linkedin.com/company/innovatechsol'],,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,EAST COAST COMMODITY GROUP (S) PTE. LTD.,EAST COAST COMMODITY GROUP (S) PTE. LTD.,,,,,,01-03-2024,202408100H,46610,,,,,https://eccgroups.com/,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,['info@eccgroups.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,BIG LION PTE. LTD.,BIG LION PTE. LTD.,,,,,,02-06-2022,202219119G,46412,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,TEA BEGINS PTE. LTD.,TEA BEGINS PTE. LTD.,,,,,,05-08-2025,202534000G,46223,,,,,,,,,,,LOCAL COMPANY,Others,,Agricultural Raw Materials & Live Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,URTON TRADING PTE. LTD.,URTON TRADING PTE. LTD.,,,,,,03-06-2022,202219350H,46439,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,ROCKETBINSON PTE. LTD.,ROCKETBINSON PTE. LTD.,,,,,,05-11-2024,202445409N,46530,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,NATHAN FASHION & STYLE,NATHAN FASHION & STYLE,,,,,,05-10-2022,53457163L,46100,,,,,,,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,GUAN SAM TRADING PTE. LTD.,GUAN SAM TRADING PTE. LTD.,,,,,,11-03-2025,202510612G,46302,,,,,,,,,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,LEMON GRASS TRADE PTE. LTD.,LEMON GRASS TRADE PTE. LTD.,,,,,,11-08-2025,202535195G,46563,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,NEW L.R. INTERNATIONAL PTE. LTD.,NEW L.R. INTERNATIONAL PTE. LTD.,,,,,,03-06-2025,202524149M,46449,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,CHIN HAN HOLDING COMPANY PTE. LTD.,CHIN HAN HOLDING COMPANY PTE. LTD.,,,,,,05-06-2018,201819110E,46301,,,,,,,,,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,YIFA TRADE PTE. LTD.,YIFA TRADE PTE. LTD.,,,,,,03-07-2024,202426734C,46631,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,FUCEN SEWING MACHINE CO. PTE. LTD.,FUCEN SEWING MACHINE CO. PTE. LTD.,,,,,,02-10-2019,201933083N,46541,,,,,https://fucen-sewing.com/,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,SINOENERGY PTE. LTD.,SINOENERGY PTE. LTD.,,,,,,10-01-2020,202001423C,46100,,,,,https://sinenergy.com.sg/,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,['+6563518559'],['info@sinenergy.com.sg'],,,,,,,,,,,,,,,,,
,,2025-11-09,ESTV PTE. LTD.,ESTV PTE. LTD.,,,,,,05-03-2022,202207747Z,46511,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,THE SEAFOOD ESSENTIALS PTE. LTD.,THE SEAFOOD ESSENTIALS PTE. LTD.,,,,,,08-11-2021,202138723W,46302,,,,,,,,,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,GOLDEN BRIDGE SG PTE. LTD.,GOLDEN BRIDGE SG PTE. LTD.,,,,,,02-08-2024,202431500G,46561,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,HMM TEA PTE. LTD.,HMM TEA PTE. LTD.,,,,,,12-12-2022,202244127K,46223,,,,,,,,['https://www.instagram.com/hmmtea.sg/'],,,LOCAL COMPANY,Others,,Agricultural Raw Materials & Live Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,FINTECHNO PTE. LTD.,FINTECHNO PTE. LTD.,,,,,,08-11-2021,202138626R,46521,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,UNIPOE INTERNATIONAL PTE. LTD.,UNIPOE INTERNATIONAL PTE. LTD.,,,,,,08-11-2024,202446005H,46521,,,,,https://www.unipoe.com/,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,AIVILO,AIVILO,,,,,,01-10-2022,53457016W,46491,,,,,,,,"['https://www.instagram.com/aiviloswim', 'https://www.instagram.com/_aivilolivia_/']",,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,NMET MATERIALS (SINGAPORE) PTE. LTD.,NMET MATERIALS (SINGAPORE) PTE. LTD.,,,,,,06-05-2022,202215639Z,46649,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,TRADEELITE SINGAPORE PTE. LTD.,TRADEELITE SINGAPORE PTE. LTD.,,,,,,10-04-2024,202414101M,46411,,,,,,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,BCTK TRADING,BCTK TRADING,,,,,,02-01-2024,53478758D,46452,,,,,,,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,PUMA ENERGY SUPPLY & TRADING PTE. LTD.,PUMA ENERGY SUPPLY & TRADING PTE. LTD.,,,,,,02-09-2016,201623973D,46610,,,,,https://pumaenergy.com,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,+6563192960,,,,,,,,,,,,,,,,,,
,,2025-11-09,ZUNTE ASIA PACIFIC PRIVATE LIMITED,ZUNTE ASIA PACIFIC PRIVATE LIMITED,,,,,,09-12-2019,201941624C,46307,,,,,,,['https://www.facebook.com/zunteapac'],,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,SHAYAN GALLERY PTE. LTD.,SHAYAN GALLERY PTE. LTD.,,,,,,09-06-2020,202016017N,46432,,,,,,,"['https://www.facebook.com/shayangallery/', 'https://www.facebook.com/shayangallerysingapore/']",['https://www.instagram.com/shayan_gallery11/?hl=en'],,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,['Shayangallery11@gmail.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,Z FRESH MEATS,Z FRESH MEATS,,,,,,04-08-2024,53489615D,46302,,,,,,,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,MUMMY CIRCLE,MUMMY CIRCLE,,,,,,07-05-2020,53413023B,46100,,,,,https://mummycircle.com,,"['https://www.facebook.com/wawamummycircle/', 'https://www.facebook.com/mummycircleglobal/']",,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,['assist@mummycircle.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,BALANZA PTE. LTD.,BALANZA PTE. LTD.,,,,,,03-11-2023,202343980N,46431,,,,,https://balanzaltd.com/,,,,,,LOCAL COMPANY,Others,,Household Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,GITLAB SINGAPORE HOLDING PTE. LTD.,GITLAB SINGAPORE HOLDING PTE. LTD.,,,,,,10-12-2020,202040129Z,46512,,,,,https://www.straitstimes.com/business/ai-enters-prime-time-in-software-innovation-pays-off-in-less-than-2-years-survey,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,['+6563333636'],['total-rewards@gitlab.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,NGEE TECK HUAT PLANTATION PTE. LTD.,NGEE TECK HUAT PLANTATION PTE. LTD.,,,,,,01-04-2015,201508759R,46301,,,,,,,['https://www.facebook.com/ngee-teck-huat-plantation-sdn-bhd-108178974975045'],,,,LOCAL COMPANY,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,['info@nthgroup.com.my'],,,,,,,,,,,,,,,,,
,,2025-11-09,CHING MAN TIMBER PTE. LTD.,CHING MAN TIMBER PTE. LTD.,,,,,,07-08-2024,202432239R,46631,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,ARKK GLOBAL PTE. LTD.,ARKK GLOBAL PTE. LTD.,,,,,,09-12-2020,202040053W,46100,,,,,,,,,,,LOCAL COMPANY,Others,,Other Specialised Wholesale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,SOON AI PTE. LTD.,SOON AI PTE. LTD.,,,,,,12-05-2025,202520451R,46522,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,AOP WORLD PTE. LTD.,AOP WORLD PTE. LTD.,,,,,,05-02-2022,202203991C,46592,,,,,https://www.aop-world.com/,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,['connect@aop-world.com'],,,,,,,,,,,,,,,,,
,,2025-11-09,KM RESOURCES LLP,KM RESOURCES LLP,,,,,,05-05-2020,T20LL0563H,46593,,,,,,,,,,,LIMITED LIABILITY PARTNERSHIP,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,NGUYEN NHUNG,NGUYEN NHUNG,,,,,,04-10-2022,53457161A,46301,,,,,,,,['https://www.instagram.com/nhunggma/?hl=en'],,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,,"Food, Beverages & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,PENNYCILLIN PTE. LTD.,PENNYCILLIN PTE. LTD.,,,,,,05-05-2022,202215480R,46592,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,(MARS) MONSTER AUTO RACING STYLING PTE. LTD.,(MARS) MONSTER AUTO RACING STYLING PTE. LTD.,,,,,,03-09-2022,202231219G,46563,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025-11-09,DERMODX INTERNATIONAL PTE. LTD.,DERMODX INTERNATIONAL PTE. LTD.,,,,,,11-05-2015,201512607R,46592,,,,,,,,,,,LOCAL COMPANY,Others,,"Machinery, Equipment & Supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
