,ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
10,,,2025-11-18,NEW VISION EDUCATION AND TECHNOLOGY PTE. LTD.,NEW VISION EDUCATION AND TECHNOLOGY,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,27-05-2024,202421223D,85509,0,,,,,Startbud,,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,9 RAFFLES PLACE,00,048619,9 RAFFLES PLACE REPUBLIC PLAZA 06-00 Singapore 048619,00,048619,,,,,65 6887 5881,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
11,,,2025-11-18,BLOSSOM GENESIS CENTRE PTE. LTD.,BLOSSOM GENESIS CENTRE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,21-11-2014,201434767M,88911,0,,,,https://mylittlecampus.com.sg/,SME,https://www.facebook.com/BlossomEdugroup/,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,735 PASIR RIS STREET 72,344,510735,70 GEYLANG BAHRU OUE DOWNTOWN 03-2719 Singapore 330070,344,510735,,,,,65 8256 7766,bgc@blossomedugroup.com.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
12,,,2025-11-18,STARRY EDUCARE PTE. LTD.,STARRY EDUCARE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,25-11-2024,202448263E,88911,0,,,,https://www.thestarryway.sg/,Startbud,,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,45 MACPHERSON ROAD,01,348469,"45 MACPHERSON ROAD, , SENNETT ESTATE 01-01 Singapore 348469",01,348469,,,,,65 9118 3181,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
13,,,2025-11-18,LANGUAGE LOFT PTE. LTD.,LANGUAGE LOFT,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,26-10-2018,201836571W,85509,85402,,,,,SME,,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,46 DIDO STREET,,459485,46 DIDO STREET OPERA ESTATE Singapore 459485,,459485,,,,,65 6442 8962,lela@languageloft.net,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
14,,,2025-11-18,CARPE DIEM STARLETS 2 PTE. LTD.,CARPE DIEM STARLETS 2,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,21-09-2012,201223384E,88911,0,,,,https://carpediem.com.sg/,SME,https://www.facebook.com/CarpeDiemSingapore,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,120 TECK WHYE LANE,808,680120,120 TECK WHYE LANE 01-808 Singapore 680120,808,680120,,,,,65 6892 6686,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
15,,,2025-11-18,SUPERLAND PRE-SCHOOL (BT) PTE. LTD.,SUPERLAND PRE-SCHOOL BT,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,18-07-2019,201923440K,88911,0,,,,https://superland.com.sg/,SME,,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,568 GANGES AVENUE,102,160568,568 GANGES AVENUE 02-102 Singapore 160568,102,160568,,,,,65 6278 5886,superland@pacific.net.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
16,,,2025-11-18,ILEAP LEARNING CENTRE LIMITED LIABILITY PARTNERSHIP,ILEAP LEARNING CENTRE LIABILITY PARTNERSHIP,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,03-09-2012,T12LL1492A,85509,0,,,,https://ileaplearning.com/,SME,,,,,LIMITED LIABILITY PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,548 ANG MO KIO AVENUE 10,2012,560548,548 ANG MO KIO AVENUE 10 CHENG SAN PLACE 01-2012 Singapore 560548,2012,560548,,,,,65 8693 3484,enquiry@ileaplearning.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
17,,,2025-11-18,THE UNIVERSE CLASSROOM (BRANCH) PTE. LTD.,THE UNIVERSE CLASSROOM BRANCH,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,09-11-2023,202344251C,88912,0,,,,https://www.mycareersfuture.gov.sg/job/education-training/full-timecontract-student-care-teacher-tiong-bahruhabourfront-area-universe-classroom-e7ec1d267196d4d2ded284b7dd5c6efa,Startbud,https://www.facebook.com/theuniverseclassroom/,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,68 LORONG AH SOO,00,536717,68 LORONG AH SOO CERELIA VISTA 00-00 Singapore 536717,00,536717,,,,,65 9818 3802,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
18,,,2025-11-18,SWEETLANDS CHILDCARE WOODLANDS 896B PTE. LTD.,SWEETLANDS CHILDCARE WOODLANDS 896B,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,03-05-2012,201210995H,88911,0,,,,https://sweetlands.com/,SME,https://www.facebook.com/SweetlandsWoodlands896B/,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,21 HAZEL PARK TERRACE,09,678946,21 HAZEL PARK TERRACE HAZEL PARK CONDOMINIUM 19-09 Singapore 678946,09,678946,,,,,65 6366 6557,sweetlandschildcare@gmail.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
19,,,2025-11-18,HWAYANG EDUCATION PTE. LTD.,HWAYANG EDUCATION,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,02-04-2025,202514204D,85509,70209,,,,,Startbud,,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,21 WOODLANDS CLOSE,10,737854,21 WOODLANDS CLOSE PRIMZ BIZHUB 02-10 Singapore 737854,10,737854,,,,,65 8285 0287,hyedu2021@gmail.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
20,,,2025-11-18,ONWARDS EDUCATION CONSULTANCY PTE. LTD.,ONWARDS EDUCATION CONSULTANCY,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,11-03-2013,201306366W,85501,85509,,,,https://onwardsec.com/,SME,,,,,LOCAL COMPANY,Others,Educational,Industry-Specific Vocational & Professional Training,"B2C, Offline",,,,,,331 NORTH BRIDGE ROAD,22,188720,331 NORTH BRIDGE ROAD ODEON 331 23-22 Singapore 188720,22,188720,,,,,65 6635 1515,shma@onwardsec.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
21,,,2025-11-18,SINGBLOOM PTE. LTD.,SINGBLOOM,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,14-12-2021,202143267R,85501,85509,,,,,SME,,,,,LOCAL COMPANY,Others,Educational,Industry-Specific Vocational & Professional Training,"B2C, Offline",,,,,,228 BUKIT BATOK CENTRAL,27,650228,228 BUKIT BATOK CENTRAL PRECISE TREE 04-27 Singapore 650228,27,650228,,,,,65 8902 0903,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
22,,,2025-11-18,DAYDAYUP LANGUAGE SCHOOL,DAYDAYUP LANGUAGE SCHOOL,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,06-04-2021,53431741C,85509,85409,,,,https://www.daydayupls.sg/,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,180 PASIR RIS STREET 11,02,510180,180 PASIR RIS STREET 11 08-02 Singapore 510180,02,510180,,,,,65 6530 3063,daydayupls21@gmail.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
23,,,2025-11-18,HUA CHENG EDUCATION CENTRE PTE LTD,HUA CHENG EDUCATION CENTRE,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,17-06-2000,200005335R,85509,85409,,,,https://huachengeducation.com.sg/,SME,,,https://sg.linkedin.com/company/hua-cheng-education-centre,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,301 UPPER THOMSON ROAD,19/20,574408,301 UPPER THOMSON ROAD /20 THOMSON PLAZA 03-19 Singapore 574408,19/20,574408,,,,,65 8882 0020,citysquare@huachengeducation.com.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
24,,,2025-11-18,LYNN LEARNING HUB,LYNN LEARNING HUB,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,31-08-2022,53455462L,85509,0,,,,https://lynnlearninghub.com/,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,461A UPPER EAST COAST ROAD,06,466507,461A UPPER EAST COAST ROAD THE BAYCOURT 04-06 Singapore 466507,06,466507,,,,,65 6272 0770,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
25,,,2025-11-18,NORTHERN LANGUAGE SCHOOL PTE. LTD.,NORTHERN LANGUAGE SCHOOL,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,06-04-2010,201007208N,85509,85409,,,,http://northernlanguageschool.com/,SME,,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,815 JURONG WEST STREET 81,222,640815,815 JURONG WEST STREET 81 B1-222 Singapore 640815,222,640815,,,,,65 6766 3346,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
26,,,2025-11-18,RAFFLES HOUSE @ ADAM PTE. LTD.,RAFFLES HOUSE @ ADAM,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,02-02-2023,202303791R,88911,85101,,,,https://www.mycareersfuture.gov.sg/job/education-training/infant-care-teacher-raffles-house-adam-25d2202cd09c2c839030cf7d5fcb33c2,Startbud,,https://instagram.com/raffleshouse,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,11 JALAN PANDAN,,288796,11 JALAN PANDAN Singapore 288796,,288796,,,,,65 9752 2892,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
27,,,2025-11-18,INSPIRE EDUCATION PTE. LTD.,INSPIRE EDUCATION,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,07-08-2023,202331460E,85502,0,,,,https://inspire-edu.sg/,Startbud,,,,,LOCAL COMPANY,Others,Educational,Industry-Specific Vocational & Professional Training,"B2C, Offline",,,,,,14 SCOTTS ROAD,01,228213,14 SCOTTS ROAD FAR EAST PLAZA 02-01 Singapore 228213,01,228213,,,,,65 6345 3147,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
28,,,2025-11-18,PRO WELLNESS COACH LLP,PRO WELLNESS COACH,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,23-04-2014,T14LL0788H,88991,0,,,,https://islandwellness.sg/,SME,,,,,LIMITED LIABILITY PARTNERSHIP,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,957 UPPER SERANGOON ROAD,,534717,UPPER SERANGOON ROAD Singapore 534717,,534717,,,,,65 9068 2619,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
29,,,2025-11-18,KALLEIS TUITION,KALLEIS TUITION,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,07-01-2015,53287890J,85509,0,,,,,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,502B YISHUN STREET 51,426,762502,502B YISHUN STREET 51 PALM BREEZE @ YISHUN 10-426 Singapore 762502,426,762502,,,,,65 8126 9266,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
30,,,2025-11-18,THE ACADEMIC WORKSHOP PTE. LTD.,THE ACADEMIC WORKSHOP,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,07-03-2012,201205667M,85509,0,,,,https://theacademicworkshop.com/,SME,https://www.facebook.com/theacademicworkshopsingapore,https://www.instagram.com/theacademicworkshopsingapore,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,10 WINSTEDT ROAD,01,227977,10 WINSTEDT ROAD 01-01 Singapore 227977,01,227977,,,,,65 6733 5447,admin@acadws.com.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
31,,,2025-11-18,YOULE MANDARIN EDUCATION CENTRE (PARKWAY) PTE. LTD.,YOULE MANDARIN EDUCATION CENTRE PARKWAY,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,02-12-2020,202039016H,85509,0,,,,https://www.youle.com.sg/,SME,,https://www.instagram.com/youlemandarincentre/?hl=en,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,203 HOUGANG STREET 21,95,530203,203 HOUGANG STREET 21 02-95 Singapore 530203,95,530203,,,,,65 9888 3167,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
32,,,2025-11-18,PRO-TEACH EDUCATION (YUHUA) LLP,PRO-TEACH EDUCATION YUHUA,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,14-09-2023,T23LL0998D,88912,0,,,,https://pro-teach.com/,Startbud,https://www.facebook.com/proteachgroup,,,,LIMITED LIABILITY PARTNERSHIP,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,90 BOON LAY WAY,08,609958,90 BOON LAY WAY YUHUA COMMUNITY CLUB 04-08 Singapore 609958,08,609958,,,,,65 6560 0828,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
33,,,2025-11-18,HERO EDUCATION PTE. LTD.,HERO EDUCATION,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,21-09-2018,201832432W,85509,0,,,,https://www.tuitionhero.sg/,SME,https://www.facebook.com/tuitionherosg/,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,68 CIRCULAR ROAD,01,49422,68 Circular Road Virtual Business Address 02-01 Singapore 049422,01,49422,,,,,65 6904 2350,hello@tuitionhero.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
34,,,2025-11-18,LITTLE PROFESSORS LEARNING CENTRE (YI) PTE. LTD.,LITTLE PROFESSORS LEARNING CENTRE YI,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,01-04-2025,202514018K,88912,0,,,,https://littleprofessors.com.sg/,Startbud,https://www.facebook.com/littleprofessorslearningcentre/,,https://sg.linkedin.com/in/little-professors-little-professors-736487254,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,835 JURONG WEST STREET 81,45,640835,835 JURONG WEST STREET 81 NANYANG PEARL B1-45 Singapore 640835,45,640835,,,,,65 6100 8789,enquiry@littleprofessors.com.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
35,,,2025-11-18,SUNFLOWER PRESCHOOL @ WEST ROCK PTE. LTD.,SUNFLOWER PRESCHOOL @ WEST ROCK,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,14-03-2019,201908312E,88911,0,,,,https://sunflowerkid.com/,SME,https://www.facebook.com/sunflowerwestrock/,,,,LOCAL COMPANY,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,201E TAMPINES STREET 23,108,527201,201E TAMPINES STREET 23 02-108 Singapore 527201,108,527201,,,,,65 6970 0240,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
36,,,2025-11-18,YE TONG EDUCATION PTE. LTD.,YE TONG EDUCATION,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,12-07-2022,202224066Z,85509,0,,,,,SME,,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,22 YIO CHU KANG ROAD,05,545535,22 YIO CHU KANG ROAD HIGHLAND CENTRE 02-05 Singapore 545535,05,545535,,,,,65 9728 6568,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
37,,,2025-11-18,ZEE JUNIORS,ZEE JUNIORS,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,21-02-2007,53086581E,88911,0,,,,https://zee.com.sg/,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Hospital,Social Services (Without Accommodations),"B2C, Offline",,,,,,722 DUNMAN ROAD,,439235,722 DUNMAN ROAD Singapore 439235,,439235,,,,,65 6440 0070,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
38,,,2025-11-18,TOP MARKS EDUCATION PTE. LTD.,TOP MARKS EDUCATION,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,04-11-2024,202445201W,85509,85409,,,,,Startbud,https://www.facebook.com/profile.php?id=61569624306606,https://www.instagram.com/topmarksedu/,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,20 COLLYER QUAY,01,049319,20 COLLYER QUAY 20 COLLYER QUAY 23-01 Singapore 049319,01,049319,,,,,65 8026 7402,success@topmarks.sg,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
39,,,2025-11-18,PACIFICA MUSIC ACADEMY LLP,PACIFICA MUSIC ACADEMY,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,19-05-2017,T17LL0984K,85509,85408,,,,https://pacificamusicacademy.com/,SME,https://www.facebook.com/PacificaMusicAcademy/,,,,LIMITED LIABILITY PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,3 COLEMAN STREET,18,179804,"33 GOLDEN DRIVE, GOLDENHILL VILLAS Singapore 554661",18,179804,,,,,65 8683 8903,director@pacificamusicacademy.com,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
40,,,2025-11-18,MIND STRETCHER LEARNING CENTRE (BUKIT PANJANG) PTE. LTD.,MIND STRETCHER LEARNING CENTRE BUKIT PANJANG,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,25-08-2010,201017990C,85509,0,,,,https://mindstretcher.com/,SME,https://www.facebook.com/MindStretcherEducation,,,,LOCAL COMPANY,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,37 JALAN PEMIMPIN,01,577177,37 JALAN PEMIMPIN MAPEX 08-01 Singapore 577177,01,577177,,,,,65 6893 0050,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
41,,,2025-11-18,YOUNG EDUCATION HUB,YOUNG EDUCATION HUB,,TeleSales,Shafiqah,Offline Sources,Web Scrapping,24-08-2015,53314320M,85509,0,,,,https://ymsedutech.com/,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Others,Educational,Tuition & Enrichment Centers,"B2C, Offline",,,,,,102A CANBERRA STREET,71,751102,102A CANBERRA STREET 12-71 Singapore 751102,71,751102,,,,,65 9720 6748,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",No,
